date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-07-08	22.2000	21.0000		1288400	21.5933	21.5933	True
2026-07-09	21.2100	20.5800	-2.0000	1008300	20.7474	21.2318	True
2026-07-10	20.4800	19.8900	-3.3528	764700	20.0153	20.9388	True
2026-07-13	20.1200	19.1300	-3.8210	1116800	19.2859	20.4867	True
2026-07-14	19.4500	21.2600	11.1343	1565200	21.1422	20.6695	True
2026-07-15	21.1000	19.2700	-9.3603	782300	19.8426	20.5803	True
2026-07-16	19.0500	18.5300	-3.8402	1082900	18.0816	20.2110	True
2026-07-17	17.9700	17.9300	-3.2380	831800	18.2081	20.0137	True
2026-07-20	18.2500	17.4200	-2.8444	922200	17.4284	19.7590	True
2026-07-21	17.2200	18.0100	3.3869	927779	17.9645	19.5806	True
