date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-08-27	9.2700	9.1900		2048900	9.2183	9.2183	True
2026-08-28	9.1800	8.9700	-2.3939	2163800	9.1154	9.1676	True
2026-08-31	8.9500	9.0900	1.3378	1909300	9.0580	9.1326	True
2026-09-01	8.8500	8.8200	-2.9703	2508400	8.7924	9.0328	True
2026-09-02	8.7800	8.6700	-1.7007	2997800	8.6191	8.9218	True
2026-09-03	8.8400	8.5100	-1.8454	2679500	8.5197	8.8463	True
2026-09-04	8.4600	8.9600	5.2879	2655300	8.7903	8.8373	True
2026-09-08	8.9400	8.9300	-0.3348	2830700	8.9858	8.8590	True
2026-09-09	8.8000	8.0700	-9.6305	2960400	8.4114	8.7995	True
2026-09-10	7.9800	7.6518	-5.1822	2278077	7.9325	8.7138	True
