date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-07-01	25.1400	24.5900		1140000	25.3710	25.3710	True
2026-07-02	24.8900	24.9000	1.2607	1233200	25.5511	25.4654	True
2026-07-06	25.0100	23.5700	-5.3414	848300	23.8234	25.0261	True
2026-07-07	23.1500	22.9200	-2.7577	693000	22.7370	24.6154	True
2026-07-08	22.2000	21.0000	-8.3770	1288400	21.5933	23.8454	True
2026-07-09	21.2100	20.5800	-2.0000	1008300	20.7474	23.3504	True
2026-07-10	20.4800	19.8900	-3.3528	764700	20.0153	22.9968	True
2026-07-13	20.1200	19.1300	-3.8210	1116800	19.2859	22.4691	True
2026-07-14	19.4500	21.2600	11.1343	1565200	21.1422	22.2470	True
2026-07-15	21.1000	19.3200	-9.1251	627682	19.8426	22.0843	True
