date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-05-26	31.6200	33.1800		3174400	33.7011	33.7011	True
2026-05-27	34.7400	35.1100	5.8168	1973700	35.1914	34.2608	True
2026-05-28	35.0000	31.9900	-8.8864	2689200	32.8109	33.7558	True
2026-05-29	31.5700	32.6400	2.0319	3416600	30.4965	33.0186	True
2026-06-01	32.2500	29.7800	-8.7623	1301700	30.1127	32.6856	True
2026-06-02	29.8900	31.9100	7.1525	1875900	32.3224	32.6339	True
2026-06-03	31.0600	30.4400	-4.6067	2277000	30.0228	32.3891	True
2026-06-04	30.4000	29.6700	-2.5296	2224100	31.1050	32.2234	True
2026-06-05	29.3500	29.1400	-1.7863	1410000	28.7081	31.9530	True
2026-06-08	29.8400	29.7700	2.1620	550199	29.8808	31.8894	True
