date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-07-28	18.2900	17.8100		2067500	17.7355	17.7355	True
2026-07-29	17.3700	15.0200	-15.6654	4322100	15.6065	16.2709	True
2026-07-30	15.0400	15.2600	1.5979	2104200	15.0967	15.9774	True
2026-07-31	15.4100	14.7300	-3.4731	1373000	14.9601	15.8408	True
2026-08-03	14.6600	14.2800	-3.0550	1919200	14.4261	15.6157	True
2026-08-04	14.9700	15.3100	7.2129	4803600	15.4435	15.5659	True
2026-08-05	15.0000	13.1500	-14.1084	2464700	13.5490	15.3220	True
2026-08-06	13.1000	10.8900	-17.1863	4035300	11.5741	14.6512	True
2026-08-07	11.2500	11.4100	4.7750	3928200	11.1570	14.1368	True
2026-08-10	11.2700	10.3100	-9.6407	1607791	10.7815	13.9371	True
