date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-06-23	27.5300	28.5600		979000	28.0248	28.0248	True
2026-06-24	28.5600	24.5400	-14.0756	1836100	25.8472	26.6146	True
2026-06-25	25.0100	24.3900	-0.6112	1047500	24.5157	26.0142	True
2026-06-26	23.7900	26.2600	7.6671	1601500	25.6224	25.9321	True
2026-06-29	27.0000	24.1100	-8.1874	1444900	25.2153	25.7870	True
2026-06-30	24.0000	24.6200	2.1153	1211100	24.6733	25.6202	True
2026-07-01	25.1400	24.5900	-0.1219	1140000	25.3710	25.5875	True
2026-07-02	24.8900	24.9000	1.2607	1233200	25.5511	25.5829	True
2026-07-06	25.0100	23.5700	-5.3414	847500	23.8234	25.4404	True
2026-07-07	23.1500	22.8400	-3.0972	334058	22.5566	25.3412	True
