date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-05-28	35.0000	31.9900		2689200	32.8109	32.8109	True
2026-05-29	31.5700	32.6400	2.0319	3416600	30.4965	31.7548	True
2026-06-01	32.2500	29.7800	-8.7623	1301700	30.1127	31.4149	True
2026-06-02	29.8900	31.9100	7.1525	1875900	32.3224	31.6242	True
2026-06-03	31.0600	30.4400	-4.6067	2277000	30.0228	31.3942	True
2026-06-04	30.4000	29.6700	-2.5296	2224100	31.1050	31.3407	True
2026-06-05	29.3500	29.1400	-1.7863	1410900	28.7081	31.0600	True
2026-06-08	29.8400	28.9900	-0.5148	989400	29.7212	30.9697	True
2026-06-09	29.2700	27.6800	-4.5188	1864200	28.4893	30.6828	True
2026-06-10	27.4000	27.6300	-0.1806	1163668	27.3807	30.4475	True
