timestamp_et	close	running_vwap	volume
2026-04-13T09:30:00-04:00	33.8499	33.7066	27822
2026-04-13T09:31:00-04:00	33.6200	33.6922	8470
2026-04-13T09:32:00-04:00	33.6000	33.6909	6185
2026-04-13T09:33:00-04:00	33.4500	33.6579	5733
2026-04-13T09:34:00-04:00	33.6999	33.6500	5144
2026-04-13T09:35:00-04:00	33.0100	33.5419	15870
2026-04-13T09:36:00-04:00	33.0100	33.4744	12369
2026-04-13T09:37:00-04:00	33.0000	33.4486	5262
2026-04-13T09:38:00-04:00	33.0200	33.4408	1561
2026-04-13T09:39:00-04:00	32.7050	33.3601	11795
2026-04-13T09:40:00-04:00	32.5000	33.2708	11862
2026-04-13T09:41:00-04:00	32.5950	33.2355	5806
2026-04-13T09:42:00-04:00	32.5450	33.1629	14106
2026-04-13T09:43:00-04:00	32.5000	33.1477	3323
2026-04-13T09:44:00-04:00	32.5340	33.1431	1086
2026-04-13T09:45:00-04:00	32.5500	33.1310	2847
2026-04-13T09:46:00-04:00	32.4900	33.1105	4703
2026-04-13T09:47:00-04:00	32.0430	33.0051	18626
2026-04-13T09:48:00-04:00	32.1700	32.9703	6845
2026-04-13T09:49:00-04:00	32.3500	32.9570	3584
2026-04-13T09:50:00-04:00	32.7300	32.9341	12342
2026-04-13T09:51:00-04:00	32.7500	32.9314	2401
2026-04-13T09:52:00-04:00	32.6600	32.9295	1568
2026-04-13T09:53:00-04:00	32.6900	32.9272	1796
2026-04-13T09:54:00-04:00	32.8600	32.9241	5525
2026-04-13T09:55:00-04:00	33.2917	32.9351	9465
2026-04-13T09:56:00-04:00	33.3099	32.9415	4243
2026-04-13T09:57:00-04:00	34.1900	32.9939	11270
2026-04-13T09:58:00-04:00	33.8062	33.0321	9697
2026-04-13T09:59:00-04:00	33.8000	33.0694	12453
2026-04-13T10:00:00-04:00	34.2000	33.1030	8578
2026-04-13T10:01:00-04:00	33.7400	33.1429	13032
2026-04-13T10:02:00-04:00	33.5050	33.1533	6216
2026-04-13T10:03:00-04:00	33.3600	33.1562	3619
2026-04-13T10:04:00-04:00	33.3200	33.1571	1496
2026-04-13T10:05:00-04:00	33.2400	33.1592	3887
2026-04-13T10:06:00-04:00	33.4000	33.1600	919
2026-04-13T10:07:00-04:00	33.4600	33.1658	6444
2026-04-13T10:08:00-04:00	33.3300	33.1687	3958
2026-04-13T10:09:00-04:00	33.4100	33.1700	1546
2026-04-13T10:10:00-04:00	33.1700	33.1702	20235
2026-04-13T10:11:00-04:00	33.1499	33.1676	7140
2026-04-13T10:12:00-04:00	32.9836	33.1665	2831
2026-04-13T10:13:00-04:00	33.1000	33.1658	2679
2026-04-13T10:14:00-04:00	33.0700	33.1653	2667
2026-04-13T10:15:00-04:00	33.0700	33.1650	1094
2026-04-13T10:16:00-04:00	32.8800	33.1632	2670
2026-04-13T10:17:00-04:00	32.8700	33.1608	3211
2026-04-13T10:18:00-04:00	32.7800	33.1474	12142
2026-04-13T10:19:00-04:00	32.7950	33.1378	9506
2026-04-13T10:20:00-04:00	32.8850	33.1326	8608
2026-04-13T10:21:00-04:00	32.7924	33.1316	1198
2026-04-13T10:23:00-04:00	32.8950	33.1312	776
2026-04-13T10:24:00-04:00	32.8900	33.1308	594
2026-04-13T10:25:00-04:00	32.9500	33.1283	6513
2026-04-13T10:26:00-04:00	33.0650	33.1282	692
2026-04-13T10:27:00-04:00	33.0600	33.1280	1138
2026-04-13T10:28:00-04:00	33.1900	33.1280	1888
2026-04-13T10:29:00-04:00	33.3450	33.1318	7966
2026-04-13T10:30:00-04:00	33.3550	33.1332	2461
2026-04-13T10:31:00-04:00	33.3500	33.1334	499
2026-04-13T10:32:00-04:00	33.4900	33.1356	2661
2026-04-13T10:33:00-04:00	33.6900	33.1395	3206
2026-04-13T10:34:00-04:00	33.5900	33.1439	3410
2026-04-13T10:35:00-04:00	33.5900	33.1476	3021
2026-04-13T10:36:00-04:00	33.4350	33.1520	5568
2026-04-13T10:37:00-04:00	33.3781	33.1528	1763
2026-04-13T10:38:00-04:00	33.2350	33.1531	1469
2026-04-13T10:39:00-04:00	33.0600	33.1530	1352
2026-04-13T10:40:00-04:00	33.1600	33.1527	9471
2026-04-13T10:41:00-04:00	33.1200	33.1526	1470
2026-04-13T10:42:00-04:00	33.2000	33.1527	711
2026-04-13T10:43:00-04:00	33.2300	33.1527	338
2026-04-13T10:44:00-04:00	33.2300	33.1528	162
2026-04-13T10:45:00-04:00	33.3350	33.1546	4954
2026-04-13T10:46:00-04:00	33.2700	33.1550	1510
2026-04-13T10:47:00-04:00	33.1350	33.1550	2987
2026-04-13T10:48:00-04:00	33.0825	33.1548	1159
2026-04-13T10:49:00-04:00	32.8208	33.1491	8412
2026-04-13T10:50:00-04:00	33.1000	33.1455	9153
2026-04-13T10:51:00-04:00	33.0800	33.1454	281
2026-04-13T10:52:00-04:00	32.9500	33.1454	116
2026-04-13T10:53:00-04:00	33.0200	33.1453	338
2026-04-13T10:54:00-04:00	32.9850	33.1444	2565
2026-04-13T10:55:00-04:00	33.1293	33.1438	4317
2026-04-13T10:56:00-04:00	33.1400	33.1435	6607
2026-04-13T10:57:00-04:00	33.1600	33.1436	1770
2026-04-13T10:58:00-04:00	33.2750	33.1488	22688
2026-04-13T10:59:00-04:00	33.3300	33.1504	3945
2026-04-13T11:00:00-04:00	33.2250	33.1510	3412
2026-04-13T11:01:00-04:00	33.2250	33.1512	2320
2026-04-13T11:02:00-04:00	33.2400	33.1519	6828
2026-04-13T11:03:00-04:00	33.2050	33.1525	4610
2026-04-13T11:04:00-04:00	33.2000	33.1525	637
2026-04-13T11:05:00-04:00	33.0900	33.1525	617
2026-04-13T11:06:00-04:00	33.1100	33.1525	738
2026-04-13T11:07:00-04:00	33.3500	33.1535	3976
2026-04-13T11:08:00-04:00	33.3050	33.1539	1337
2026-04-13T11:09:00-04:00	33.4099	33.1560	5068
2026-04-13T11:10:00-04:00	33.4052	33.1566	1255
2026-04-13T11:11:00-04:00	33.4100	33.1580	3175
2026-04-13T11:12:00-04:00	33.5199	33.1610	4837
2026-04-13T11:13:00-04:00	33.4300	33.1617	1431
2026-04-13T11:14:00-04:00	33.4600	33.1629	2177
2026-04-13T11:15:00-04:00	33.5633	33.1695	9947
2026-04-13T11:16:00-04:00	33.4201	33.1700	851
2026-04-13T11:17:00-04:00	33.5700	33.1715	2126
2026-04-13T11:18:00-04:00	33.5050	33.1735	3324
2026-04-13T11:19:00-04:00	33.4950	33.1745	1777
2026-04-13T11:20:00-04:00	33.4950	33.1757	2084
2026-04-13T11:21:00-04:00	33.2550	33.1767	5226
2026-04-13T11:22:00-04:00	33.1300	33.1767	2736
2026-04-13T11:23:00-04:00	33.0900	33.1765	750
2026-04-13T11:24:00-04:00	33.1100	33.1749	7256
2026-04-13T11:25:00-04:00	33.0500	33.1748	518
2026-04-13T11:26:00-04:00	33.0000	33.1745	732
2026-04-13T11:27:00-04:00	33.0800	33.1741	1997
2026-04-13T11:28:00-04:00	33.0450	33.1740	485
2026-04-13T11:29:00-04:00	33.1260	33.1739	875
2026-04-13T11:30:00-04:00	33.1300	33.1737	1550
2026-04-13T11:31:00-04:00	33.1300	33.1736	1417
2026-04-13T11:33:00-04:00	33.0900	33.1732	3558
2026-04-13T11:34:00-04:00	33.1000	33.1732	305
2026-04-13T11:35:00-04:00	33.0500	33.1727	2686
2026-04-13T11:36:00-04:00	33.2100	33.1728	1476
