date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-04-24	35.8000	31.0600		3648700	32.6430	32.6430	True
2026-04-27	31.1400	32.5800	4.8938	1963700	32.2909	32.5203	True
2026-04-28	31.8200	31.9300	-1.9951	1368900	31.3034	32.3046	True
2026-04-29	31.5700	29.2400	-8.4247	1741400	29.0933	31.4332	True
2026-04-30	30.5000	33.1600	13.4063	1976900	33.0546	32.0609	True
2026-05-01	33.4100	31.9700	-3.5887	1361700	31.8301	32.0423	True
2026-05-04	31.9500	32.0600	0.2815	1146100	31.9632	32.0377	True
2026-05-05	32.8800	32.7100	2.0274	1770800	31.6212	31.9462	True
2026-05-06	33.6400	36.8700	12.7178	2113100	37.0000	33.0909	True
2026-05-07	36.2600	33.2050	-9.9403	4850688	34.1285	33.2439	True
