date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-08-13	10.8700	11.5100		4593200	11.1688	11.1688	True
2026-08-14	10.0600	10.9300	-5.0391	6604400	10.3926	10.8137	True
2026-08-17	10.3600	10.6600	-2.4703	4389800	11.1291	10.9485	True
2026-08-18	10.2400	10.4200	-2.2514	5034900	10.1766	10.7252	True
2026-08-19	10.3200	10.1800	-2.3033	3781000	10.0675	10.5904	True
2026-08-20	9.9900	9.2000	-9.6267	5467800	9.1465	10.2278	True
2026-08-21	9.2600	9.3200	1.3043	2434000	9.4848	10.1708	True
2026-08-24	9.2200	9.7600	4.7210	3257000	9.5546	10.1425	True
2026-08-25	10.0000	9.3200	-4.5082	2937600	9.2799	10.0057	True
2026-08-26	9.2000	9.1850	-1.4485	3802744	9.2939	9.9727	True
