date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-07-31	15.4100	14.7300		1373000	14.9601	14.9601	True
2026-08-03	14.6600	14.2800	-3.0550	1919200	14.4261	14.6476	True
2026-08-04	14.9700	15.3100	7.2129	4803600	15.4436	15.1250	True
2026-08-05	15.0000	13.1500	-14.1084	2464700	13.5490	14.7754	True
2026-08-06	13.1000	10.8900	-17.1863	4035300	11.5741	13.8611	True
2026-08-07	11.2500	11.4100	4.7750	3932000	11.1805	12.9734	True
2026-08-10	11.2700	10.4800	-8.1507	3075200	10.4664	12.4766	True
2026-08-11	10.5100	10.6000	1.1450	3754400	10.3797	12.2160	True
2026-08-12	10.7000	11.0400	4.1509	3996100	10.9986	11.8791	True
2026-08-13	10.8900	11.2150	1.5851	6325330	11.1177	11.7751	True
