date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-06-04	30.4000	29.6700		2224100	31.1050	31.1050	True
2026-06-05	29.3500	29.1400	-1.7863	1410900	28.7081	30.1648	True
2026-06-08	29.8400	28.9900	-0.5148	989400	29.7212	30.0716	True
2026-06-09	29.2700	27.6800	-4.5188	1865300	28.4893	29.6134	True
2026-06-10	27.4000	27.6200	-0.2168	1348200	27.3807	29.2538	True
2026-06-11	28.9300	33.7200	22.0854	2913100	32.0802	29.9717	True
2026-06-12	33.3900	27.6900	-17.8826	3036600	28.4225	29.6131	True
2026-06-15	27.9300	30.5000	10.1481	2120000	29.3776	29.5824	True
2026-06-16	29.7300	32.4900	6.5246	1867900	30.7156	29.6790	True
2026-06-17	32.5700	31.4310	-3.2595	941828	32.8343	29.8561	True
