date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-06-09	29.2700	27.6800		1865300	28.4893	28.4893	True
2026-06-10	27.4000	27.6200	-0.2168	1348200	27.3807	28.0472	True
2026-06-11	28.9300	33.7200	22.0854	2913100	32.0802	29.8917	True
2026-06-12	33.3900	27.6900	-17.8826	3036600	28.4225	29.3751	True
2026-06-15	27.9300	30.5000	10.1481	2120000	29.3776	29.3755	True
2026-06-16	29.7300	32.4900	6.5246	1869400	30.7156	29.5325	True
2026-06-17	32.5700	30.3000	-6.7405	1578100	32.1514	29.8223	True
2026-06-18	31.5000	30.8000	1.6502	4190000	28.7899	29.7075	True
2026-06-22	30.4900	28.9600	-5.9740	1441600	28.4820	29.6064	True
2026-06-23	27.5300	28.1550	-2.7797	429077	27.7814	29.5585	True
