date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-07-07	23.1500	22.9200		693000	22.7370	22.7370	True
2026-07-08	22.2000	21.0000	-8.3770	1288400	21.5933	21.9869	True
2026-07-09	21.2100	20.5800	-2.0000	1008300	20.7474	21.5796	True
2026-07-10	20.4800	19.8900	-3.3528	764700	20.0153	21.2728	True
2026-07-13	20.1200	19.1300	-3.8210	1116800	19.2859	20.8066	True
2026-07-14	19.4500	21.2600	11.1343	1565200	21.1422	20.8902	True
2026-07-15	21.1000	19.2700	-9.3603	782300	19.8426	20.7881	True
2026-07-16	19.0500	18.5300	-3.8402	1082900	18.0816	20.4214	True
2026-07-17	17.9700	17.9300	-3.2380	831800	18.2081	20.2199	True
2026-07-20	18.2500	17.2201	-3.9593	551749	17.4302	20.0439	True
