date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-08-11	10.5100	10.6000		3754400	10.3797	10.3797	True
2026-08-12	10.7000	11.0400	4.1509	4001200	10.9986	10.8469	True
2026-08-13	10.8700	11.5100	4.2572	4593200	11.1688	10.9569	True
2026-08-14	10.0600	10.9300	-5.0391	6604400	10.3926	10.8307	True
2026-08-17	10.3600	10.6600	-2.4703	4389800	11.1291	10.9105	True
2026-08-18	10.2400	10.4200	-2.2514	5034900	10.1766	10.7615	True
2026-08-19	10.3200	10.1800	-2.3033	3781000	10.0675	10.6552	True
2026-08-20	9.9900	9.2000	-9.6267	5467800	9.1465	10.3528	True
2026-08-21	9.2600	9.3200	1.3043	2434000	9.4848	10.2989	True
2026-08-24	9.2200	9.3450	0.2682	571775	9.2711	10.2913	True
