date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-06-22	30.4900	28.9600		1443400	28.4820	28.4820	True
2026-06-23	27.5300	28.5600	-1.3812	979000	28.0248	28.2982	True
2026-06-24	28.5600	24.5400	-14.0756	1836100	25.8472	27.2568	True
2026-06-25	25.0100	24.3900	-0.6112	1047500	24.5157	26.6863	True
2026-06-26	23.7900	26.2600	7.6671	1601500	25.6224	26.5142	True
2026-06-29	27.0000	24.1100	-8.1874	1444900	25.2153	26.3015	True
2026-06-30	24.0000	24.6200	2.1153	1211100	24.6733	26.0984	True
2026-07-01	25.1400	24.5900	-0.1219	1140000	25.3710	26.0170	True
2026-07-02	24.8900	24.9000	1.2607	1233200	25.5511	25.9659	True
2026-07-06	25.0100	24.7500	-0.6024	282850	24.5688	25.9272	True
