date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-07-24	17.9600	17.0600		707300	16.8711	16.8711	True
2026-07-27	17.3300	18.8700	10.6096	791700	18.3962	17.6791	True
2026-07-28	18.2900	17.8100	-5.6174	2067500	17.7355	17.7125	True
2026-07-29	17.3700	15.0200	-15.6654	4322100	15.6065	16.5196	True
2026-07-30	15.0400	15.2600	1.5979	2104200	15.0967	16.2132	True
2026-07-31	15.4100	14.7300	-3.4731	1373000	14.9601	16.0656	True
2026-08-03	14.6600	14.2800	-3.0550	1919200	14.4261	15.8321	True
2026-08-04	14.9700	15.3100	7.2129	4803600	15.4435	15.7282	True
2026-08-05	15.0000	13.1500	-14.1084	2458000	13.5490	15.4827	True
2026-08-06	13.1000	11.4190	-13.1635	2224708	11.8718	15.1058	True
