date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-05-13	32.5100	28.2400		4426900	29.6174	29.6174	True
2026-05-14	28.4700	28.9400	2.4788	4168500	27.9269	28.8118	True
2026-05-15	27.0700	24.0200	-17.0007	4617200	24.1601	27.1473	True
2026-05-18	25.2600	25.9300	7.9517	2289500	25.5176	26.9035	True
2026-05-19	25.9200	25.6800	-0.9641	1215100	25.2412	26.7922	True
2026-05-20	25.6500	25.8500	0.6620	1123600	25.8512	26.7408	True
2026-05-21	25.7500	28.4500	10.0580	1585700	27.6450	26.8147	True
2026-05-22	28.5600	29.0300	2.0387	1372800	28.7852	26.9435	True
2026-05-26	31.6200	33.1800	14.2956	3174400	33.7011	27.8448	True
2026-05-27	34.7400	35.1400	5.9072	1818084	35.1914	28.3903	True
