date	open	close	pct_change	volume	daily_vwap	high_fidelity
2026-04-15	34.8300	39.6600		3771019	37.3284	True
2026-04-16	39.4950	38.2100	-3.6561	3058372	36.9090	True
2026-04-17	38.5100	35.6200	-6.7783	2025004	36.2372	True
2026-04-20	35.6900	38.3900	7.7765	1482000	37.3355	True
2026-04-21	39.2800	41.2700	7.5020	3456130	41.9761	True
2026-04-22	42.2900	43.3600	5.0642	2206828	41.7928	True
2026-04-23	43.0600	35.7100	-17.6430	4500312	36.3924	True
2026-04-24	35.8000	31.0400	-13.0776	3508869	32.6430	True
2026-04-27	31.1400	32.5850	4.9774	1876032	32.2909	True
2026-04-28	31.8200	30.9050	-5.1557	516834	31.0811	True
