date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-05-29	31.5700	32.6400		3416600	30.4965	30.4965	True
2026-06-01	32.2500	29.7800	-8.7623	1301700	30.1127	30.3568	True
2026-06-02	29.8900	31.9100	7.1525	1875900	32.3224	31.0353	True
2026-06-03	31.0600	30.4400	-4.6067	2277000	30.0231	30.8323	True
2026-06-04	30.4000	29.6700	-2.5296	2224100	31.1050	30.8979	True
2026-06-05	29.3500	29.1400	-1.7863	1410900	28.7081	30.6035	True
2026-06-08	29.8400	28.9900	-0.5148	989400	29.7212	30.5298	True
2026-06-09	29.2700	27.6800	-4.5188	1865300	28.4893	30.2452	True
2026-06-10	27.4000	27.6200	-0.2168	1343600	27.3807	30.0027	True
2026-06-11	28.9300	31.8100	15.1702	1067266	30.5483	30.0420	True
