date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-05-07	36.2600	33.3800		1508500	34.2600	34.2600	True
2026-05-08	34.0600	34.7900	4.2241	1843000	34.7908	34.5526	True
2026-05-11	34.7800	35.8800	3.1331	4741800	33.9612	34.2031	True
2026-05-12	34.5600	31.9700	-10.8974	2883200	32.3044	33.7071	True
2026-05-13	32.5100	28.2400	-11.6672	4426900	29.6174	32.5450	True
2026-05-14	28.4700	28.9400	2.4788	4168500	27.9269	31.5957	True
2026-05-15	27.0700	24.0200	-17.0007	4617200	24.1601	30.1551	True
2026-05-18	25.2600	25.9300	7.9517	2289500	25.5176	29.7518	True
2026-05-19	25.9200	25.6800	-0.9641	1211700	25.2412	29.5711	True
2026-05-20	25.6500	26.2150	2.0833	629915	25.7973	29.4840	True
