date	open	close	pct_change	volume	daily_vwap
2026-04-15	34.8300	39.6600		3771019	37.3284
2026-04-16	39.4950	38.2100	-3.6561	3058372	36.9090
2026-04-17	38.5100	35.6200	-6.7783	2025004	36.2372
2026-04-20	35.6900	38.3900	7.7765	1482000	37.3355
2026-04-21	39.2800	41.2700	7.5020	3456130	41.9761
