date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-06-16	29.7300	32.4900		1869400	30.7156	30.7156	True
2026-06-17	32.5700	30.3000	-6.7405	1578100	32.1514	31.4551	True
2026-06-18	31.5000	30.8000	1.6502	4190000	28.7899	30.4743	True
2026-06-22	30.4900	28.9600	-5.9740	1443400	28.4820	30.0175	True
2026-06-23	27.5300	28.5600	-1.3812	979000	28.0248	29.7513	True
2026-06-24	28.5600	24.5400	-14.0756	1836100	25.8472	28.9819	True
2026-06-25	25.0100	24.3900	-0.6112	1047500	24.5157	28.4966	True
2026-06-26	23.7900	26.2600	7.6671	1601500	25.6224	28.2335	True
2026-06-29	27.0000	24.1100	-8.1874	1439300	25.2153	27.9325	True
2026-06-30	24.0000	24.7050	2.4679	590102	24.7903	27.7763	True
