date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-08-18	10.2400	10.4200		5034900	10.1766	10.1766	True
2026-08-19	10.3200	10.1800	-2.3033	3781000	10.0675	10.1252	True
2026-08-20	9.9900	9.2000	-9.6267	5467800	9.2075	9.9243	True
2026-08-21	9.2600	9.3200	1.3043	2434000	9.4969	9.8868	True
2026-08-24	9.2200	9.7600	4.7210	3257000	9.5547	9.8528	True
2026-08-25	10.0000	9.3200	-4.5082	2948300	9.3470	9.8095	True
2026-08-26	9.2000	9.1300	-2.0386	1967800	9.2471	9.7799	True
2026-08-27	9.2700	9.1900	0.6572	2048900	9.2183	9.7507	True
2026-08-28	9.1800	8.9600	-2.5027	1819650	9.1154	9.7200	True
2026-08-31	8.9500	9.0700	1.2277	1387780	9.0520	9.6963	True
