date	open	close	pct_change	volume	daily_vwap	rolling_vwap_10d	high_fidelity
2026-07-23	17.4700	17.6200		850900	17.7067	17.7067	True
2026-07-24	17.9600	17.0600	-3.1782	707300	16.8711	17.3102	True
2026-07-27	17.3300	18.8700	10.6096	791700	18.3962	17.6885	True
2026-07-28	18.2900	17.8100	-5.6174	2067500	17.7355	17.7115	True
2026-07-29	17.3700	15.0200	-15.6654	4322100	15.6065	16.6196	True
2026-07-30	15.0400	15.2600	1.5979	2104200	15.0967	16.3138	True
2026-07-31	15.4100	14.7300	-3.4731	1373000	14.9601	16.1639	True
2026-08-03	14.6600	14.2800	-3.0550	1919200	14.4261	15.9292	True
2026-08-04	14.9700	15.3100	7.2129	4798600	15.4435	15.8044	True
2026-08-05	15.0000	13.4150	-12.3775	1496480	13.6723	15.6375	True
